a1,a2,a3,a4,a5,res
15,22,0.6818181818181818,0.3818181818181818,0.2424242424242425,Printed_extended
21,69,0.30434782608695654,0.20427881297446512,0.1352657004830918,Printed_extended
13,32,0.40625,0.24759615384615388,0.3004807692307692,Printed_extended
22,186,0.11827956989247312,0.5779569892473119,0.06353861192570869,Printed_extended
17,176,0.09659090909090909,0.6610962566844919,0.06350267379679145,Printed_extended
18,29,0.6206896551724138,0.28735632183908044,0.1743295019157088,Printed_extended
20,48,0.4166666666666667,0.3020833333333333,0.15104166666666669,Printed_extended
21,46,0.45652173913043476,0.25258799171842655,0.14596273291925468,Printed_extended
17,149,0.11409395973154363,0.22463482037110144,0.1891038294512436,Printed_extended
20,80,0.25,0.18812500000000001,0.12875000000000003,Printed_extended
15,48,0.3125,0.2916666666666667,0.1888888888888889,Printed_extended
13,31,0.41935483870967744,0.23573200992555837,0.3176178660049628,Printed_extended
22,16,1.375,0.4090909090909091,0.14488636363636365,Printed_extended
13,110,0.11818181818181818,0.24335664335664337,0.2545454545454545,Printed_extended
15,21,0.7142857142857143,0.40634920634920635,0.2444444444444444,Printed_extended
14,121,0.11570247933884298,0.7136953955135774,0.06611570247933884,Printed_extended
21,58,0.3620689655172414,0.2701149425287356,0.1633825944170772,Printed_extended
30,27,1.1111111111111112,0.3209876543209877,0.1259259259259259,Printed_extended
12,25,0.48,0.21333333333333332,0.2333333333333333,Printed_extended
22,52,0.4230769230769231,0.19580419580419584,0.10402097902097901,Printed_extended
12,43,0.27906976744186046,0.21705426356589144,0.26162790697674415,Printed_extended
27,125,0.216,0.34577777777777774,0.14133333333333334,Printed_extended
14,88,0.1590909090909091,0.5933441558441559,0.05357142857142856,Printed_extended
15,71,0.2112676056338028,0.2948356807511736,0.22347417840375586,Printed_extended
21,46,0.45652173913043476,0.4927536231884059,0.048654244306418216,Printed_extended
6,9,0.6666666666666666,0.2962962962962963,0.07407407407407407,Printed_extended
12,162,0.07407407407407407,0.25617283950617287,0.19958847736625515,Printed_extended
20,48,0.4166666666666667,0.30833333333333335,0.153125,Printed_extended
22,69,0.3188405797101449,0.20619235836627142,0.13109354413702243,Printed_extended
15,206,0.07281553398058252,0.20323624595469253,0.2122977346278317,Printed_extended
16,48,0.3333333333333333,0.27734375,0.1953125,Printed_extended
10,22,0.45454545454545453,0.3045454545454546,0.3181818181818182,Printed_extended
20,40,0.5,0.38875000000000004,0.17624999999999996,Printed_extended
16,151,0.10596026490066225,0.28311258278145696,0.19619205298013245,Printed_extended
12,43,0.27906976744186046,0.21317829457364335,0.25,Printed_extended
14,88,0.1590909090909091,0.2313311688311688,0.24756493506493507,Printed_extended
37,52,0.7115384615384616,0.15540540540540543,0.09407484407484408,Printed_extended
20,77,0.2597402597402597,0.2571428571428572,0.15064935064935064,Printed_extended
21,46,0.45652173913043476,0.26501035196687367,0.15631469979296067,Printed_extended
20,84,0.23809523809523808,0.2607142857142857,0.18154761904761904,Printed_extended
30,27,1.1111111111111112,0.3271604938271605,0.1259259259259259,Printed_extended
14,121,0.11570247933884298,0.24616292798110978,0.2154663518299882,Printed_extended
18,29,0.6206896551724138,0.29885057471264365,0.1743295019157088,Printed_extended
22,183,0.12021857923497267,0.2647789369100844,0.14878291107799305,Printed_extended
